,source,title,description,publishedAt,url
0,"{'id': None, 'name': 'BeInCrypto'}",Coinbase lanza contratos de futuros de XRP regulados por la CFTC,"La aprobación de Coinbase para ofrecer contratos de futuros de XRP trae un camino regulado para que los inversores institucionales accedan a XRP, en medio de una sacudida del mercado y un aumento en la actividad de la red.
El post Coinbase lanza contratos de …",2025-04-22T07:10:51Z,https://es.beincrypto.com/coinbase-xrp-futuros-aprobacion-cftc/
1,"{'id': None, 'name': 'BeInCrypto'}","Empresas cripto donaron $85 millones en la inauguración de Trump, ¿qué recibieron?","Un nuevo informe revela que más de 85 millones de dólares fueron donados por empresas cripto a la Inauguración de Trump, y muchos donantes recibieron notables beneficios legales y comerciales. Esto plantea serias preocupaciones sobre la corrupción en la indus…",2025-04-22T06:20:00Z,https://es.beincrypto.com/empresas-cripto-donaron-85-millones-inauguracion-trump/
2,"{'id': None, 'name': 'Trendencias.com'}","Si eres mujer, inteligente y en edad de procrear, Elon Musk podría querer reclutarte para formar su ""legión"" de niños antes del apocalipsis","Uno de los datos más curiosos de la vida de Elon Musk es que, hasta la fecha, ha tenido 14 hijos e hijas con cuatro mujeres distintas. Eso es un montón de prole para alguien que presume de ser un workaholic que ha llegado a dormir en sus oficinas y fábricas. …",2025-04-22T06:01:40Z,https://www.trendencias.com/familia-maternidad-y-ninos/eres-mujer-inteligente-edad-procrear-elon-musk-podria-querer-reclutarte-para-formar-su-legion-ninos-antes-apocalipsis
3,"{'id': None, 'name': 'Cointelegraph'}","Trump pone más presión sobre la Fed: dólar y acciones cayeron, pero el mercado cripto repuntó","El Presidente de Estados Unidos ha reiterado su llamamiento a bajar las tasas de interés, mientras los mercados bursátiles siguen cayendo y el índice del dólar alcanza su nivel más bajo en tres años.
 El mercado de criptomonedas evitó las repercusiones causad…",2025-04-22T03:55:00Z,https://es.cointelegraph.com/news/us-dollar-stocks-tumble-while-crypto-gains-as-trump-amps-up-powell-pressure
4,"{'id': None, 'name': 'BeInCrypto'}","Coinbase lista el token Reserve Rights (RSR) vinculado al presidente de la SEC, Paul Atkins","El listado de Reserve Rights (RSR) en Coinbase ha provocado un aumento del 9% en el precio, y los principales traders de Binance apuestan por su éxito futuro. La especulación sobre los vínculos de RSR con el próximo presidente de la Comisión de Bolsa y Valore…",2025-04-22T02:50:00Z,https://es.beincrypto.com/coinbase-lista-token-reserve-rights-rsr-vinculado-presidente-sec/
5,"{'id': 'la-nacion', 'name': 'La Nacion'}","Así se esconde en California, Florida y Nueva York el tráfico de fentanilo de los carteles mexicanos",Investigaciones federales detallan cómo los cárteles mexicanos operan sofisticadas redes de tráfico de fentanilo en EE.UU. para mover y lavar dinero ilícito,2025-04-22T01:37:00Z,https://www.lanacion.com.ar/estados-unidos/asi-se-esconde-en-california-florida-y-nueva-york-el-trafico-de-fentanilo-de-los-carteles-mexicanos-nid21042025/
6,"{'id': None, 'name': 'BeInCrypto'}",Continúan los arrestos por el caso HV IJEX en Venezuela: cinco sospechosos detenidos,"En una operación conjunta, autoridades venezolanas han arrestado a cinco presuntos estafadores involucrados en HV IJEX, una plataforma fraudulenta que ofrecía rendimientos inalcanzables en criptomonedas. La estafa dejó a miles de usuarios sin sus inversiones.…",2025-04-21T23:57:55Z,https://es.beincrypto.com/arrestos-hv-ijex-sacuden-sector-cripto-venezuela/
7,"{'id': None, 'name': 'BeInCrypto'}",BBVA: MiCA permite a bancos crear stablecoins y lanzar servicios de custodia cripto,"Con la entrada en vigor de la ley MiCA, BBVA se posiciona en el espacio cripto, ofreciendo servicios como la custodia de activos y la emisión de stablecoins respaldadas por el euro. Esta regulación impulsa la adopción de criptomonedas en Europa, según directi…",2025-04-21T23:09:07Z,https://es.beincrypto.com/bbva-mica-permite-bancos-crear-stablecoins-lanzar-servicios-custodia-cripto/
8,"{'id': None, 'name': 'Cointelegraph'}",Legisladora estadounidense apunta a inversores cripto que utilizan Puerto Rico como paraíso fiscal,"La legislación propuesta por la representante neoyorquina Nydia Velázquez llegó después de que el Gobernador de Puerto Rico propusiera un impuesto del 4% sobre las plusvalías para los nuevos solicitantes.
 Un miembro de la Cámara de Representantes ha propuest…",2025-04-21T22:45:00Z,https://es.cointelegraph.com/news/nydia-velazquez-crypto-puerto-rico-taxes
9,"{'id': None, 'name': 'BeInCrypto'}",Las empresas públicas compran Bitcoin nuevamente mientras BTC se acerca a $90.000,"La compra de Bitcoin por 28,2 millones de dólares de Metaplanet destaca la creciente confianza mientras el mercado cripto se recupera del caos inducido por aranceles, pero la volatilidad persiste.
El post Las empresas públicas compran Bitcoin nuevamente mient…",2025-04-21T22:24:11Z,https://es.beincrypto.com/empresas-publicas-compran-bitcoin-mientras-btc-acerca-90000/
10,"{'id': None, 'name': 'Cointelegraph'}",Coinbase Derivatives ha lanzado contratos futuros sobre XRP,"Los contratos de futuros están regulados por la CFTC de EE.UU. y se suman a la creciente oferta de derivados cripto para inversores minoristas e institucionales.
 Coinbase ha listado contratos de futuros para el token XRP en su exchange de derivados de EE. UU…",2025-04-21T21:51:00Z,https://es.cointelegraph.com/news/coinbase-lists-cftc-regulated-xrp-futures
11,"{'id': None, 'name': 'BeInCrypto'}",Top 3 mejores airdrops de criptomonedas para la cuarta semana de abril,"Los principales airdrops de criptomonedas de esta semana incluyen SuperStacks de Optimism, incentivos del testnet de Aztec y la agricultura de puntos basada en Solana de Huma Finance, cada uno respaldado por importantes inversores.
El post Top 3 mejores airdr…",2025-04-21T21:50:10Z,https://es.beincrypto.com/top-3-mejores-airdrops-criptomonedas-cuarta-semana-abril/
12,"{'id': None, 'name': 'Cointelegraph'}",Astra Fintech destina 100 millones de dólares al crecimiento de Solana en Asia,"El nuevo fondo de Astra Fintech respaldará proyectos y asociaciones que trabajen en soluciones PayFi en Corea del Sur.
 Astra Fintech, un proveedor global de pagos en la blockchain, ha lanzado un fondo de 100 millones de dólares para apoyar el crecimiento del…",2025-04-21T21:28:00Z,https://es.cointelegraph.com/news/astra-fintech-commits-100-m-to-boost-solana-in-asia
13,"{'id': 'rt', 'name': 'RT'}",Cárteles mexicanos usan casinos de EE.UU. para lavar dinero,"El mayor número de reportes de estas actividades se ha identificado en los estados de California, Florida y Nueva York.",2025-04-21T21:26:04Z,https://actualidad.rt.com/actualidad/547252-carteles-mexicanos-casinos-eeuu-lavar-dinero
14,"{'id': None, 'name': 'BeInCrypto'}",El CEO de MANTRA y sus socios quemarán 300 millones de tokens: ¿Volverá OM a $1?,"Después de un histórico colapso del 90%, Mantra está intentando estabilizarse con una quema masiva de tokens. OM enfrenta una prueba crítica entre la recuperación y un mayor declive.
El post El CEO de MANTRA y sus socios quemarán 300 millones de tokens: ¿Volv…",2025-04-21T21:16:10Z,https://es.beincrypto.com/ceo-mantra-socios-quemaran-300-millones-tokens-om-1/
